CL_FISCAL,Nome,UNIDADE,Estoque,Preco,VAL_TOTAL
"30049069,""0463381-BRAVAN HCT 80+12,5MG C/30 COMP"",UN,1,6301.0,6301.0"
30049069,0480504-BRINTELLIX 10MG C/30 COMP,UN,1,28794.0,28794.0
30049069,0490524-BRINTELLIX 5MG C/30 COMP,UN,2,19088.0,38176.0
30049069,0565370-BRITENS COL 2+5MG 5ML,UN,1,9525.0,9525.0
30049069,0565381-BRITENS LC COL 2+5MG 10ML,UN,1,10160.0,10160.0
30049069,0565393-BRITENS LC COL 2+5MG 5ML,UN,1,7250.0,7250.0
30049079,0568910-BRIXAG SOL OFT 5ML,UN,1,8783.0,8783.0
30049064,0252656-BROMAZEPAM BIOSINT 3MG C/30 COMP,UN,1,1972.0,1972.0
30049064,0564555-BROMAZEPAM GERMED 3MG C/30 COMP,UN,4,629.0,2516.0
30049064,0564567-BROMAZEPAM GERMED 6MG C/30 COMP,UN,5,434.0,2170.0
30049064,0171780-BROMAZEPAM MEDLEY 3MG C/30 COMP,UN,6,564.0,3384.0
30049064,0151518-BROMAZEPAM MEDLEY 6MG C/30 COMP,UN,4,943.0,3772.0
30049069,0560214-BROMID VORTIOXETINA ALTHAIA 10MG C/30,UN,3,7291.0,21873.0
30049045,0304630-BROMOPRIDA BIOS 4MG/ML SOL 20ML,UN,3,959.0,2877.0
30049045,0184240-BROMOPRIDA MEDLEY 10MG C/20 CAPS,UN,9,805.0,7245.0
"30066000,""0013397-BRONCHO VAXOM 7,0MG ADU C/10 CAPS"",UN,1,8420.0,8420.0"
"30024992,""0558216-BRONCHO-VAXOM 3,5MG INF C/30 SACHES"",UN,1,16633.0,16633.0"
30049099,0001935-BRONDILAT ADT XPE 120ML,VD,1,4991.0,4991.0
30049099,0001934-BRONDILAT PED 5MG 120ML,VD,2,3724.0,7448.0
30049099,0385200-BUCLINA 25 MG C/30 COMP,UN,2,1668.0,3336.0
30049079,0253763-BUONA 150MG C/30 CAPS,UN,1,12811.0,12811.0
30049039,0214178-BUP 150MG C/30 COMP,UN,3,12369.0,37107.0
30049059,0492273-BUP XL 150MG C/30 COMP,UN,2,9053.0,18106.0
30049059,0492285-BUP XL 300MG C/30 COMP,UN,1,10113.0,10113.0
30044990,0001986-BUSCODUO C/20 COMPRIMIDOS,UN,3,3150.0,9450.0
30049029,0553966-BUSCOFEM 200MG C/10 COMP GIRLS,UN,1,1947.0,1947.0
30049029,0232298-BUSCOFEM 400MG C/10 COMP,UN,4,2484.0,9936.0
30059090,0554156-BUSCOFEN HOT SACHES,UN,3,1715.0,5145.0
30044990,0001979-BUSCOPAN 10MG C/20 DRGS,UN,7,2169.0,15183.0
